,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
timor-leste,-0.096,-0.07,0.496,0.137,-0.133,-0.242,-0.042,-0.548,-0.009,-0.417,-0.109,-0.3,0.108,-0.0,0.207,-0.038,-0.127,0.65,0.117,0.076,-0.297,-0.505,0.191,0.283,0.261,0.38,-0.383,0.413,0.101,0.347,0.353,0.499,0.693,0.369,0.321,0.095,0.541,0.21,-0.126,0.325,0.391,0.027,0.904,0.053,0.042,0.329,0.6,0.54,0.475,0.89,0.091,0.432,0.286,0.611,0.706,-0.021,0.087,0.542,0.376,0.338
togo,-0.152,-0.183,0.07,-0.242,-0.146,0.118,-0.232,-0.051,0.263,0.29,-0.149,0.193,0.629,-0.059,-0.166,-0.335,0.283,0.036,0.392,0.413,0.399,0.106,0.71,0.506,0.344,0.288,1.076,0.569,0.193,0.697,0.239,0.154,0.428,0.378,0.617,0.563,0.548,1.109,0.54,0.551,0.708,0.775,1.022,0.9,1.111,1.1,0.986,0.731,0.831,1.148,0.857,0.635,0.721,0.887,0.95,1.189,1.082,0.953,1.151,1.055
tonga,0.198,-0.148,-0.237,0.099,-0.629,-0.518,-0.124,0.071,-0.345,0.379,0.275,-0.07,0.354,0.148,0.168,-0.238,-0.097,0.004,0.302,0.322,0.503,0.039,0.248,0.461,0.362,-0.113,-0.033,1.041,0.541,0.452,0.293,0.23,-0.027,0.026,0.623,0.74,0.141,0.849,0.617,0.795,0.765,0.779,0.59,0.613,0.63,0.695,1.065,0.772,0.103,1.103,1.171,0.687,1.112,0.623,0.262,0.926,0.967,0.918,0.848,0.961
trinidad-and-tobago,0.132,0.1,0.254,-0.083,-0.007,0.169,-0.213,-0.257,0.461,0.091,-0.395,-0.063,0.109,-0.263,-0.372,-0.314,0.137,0.276,0.362,0.213,0.481,0.133,0.424,-0.121,-0.25,-0.156,0.699,0.38,-0.021,0.349,0.251,0.18,0.446,0.314,0.737,0.423,0.495,1.061,0.543,0.303,0.599,0.465,0.811,0.526,1.008,0.722,0.614,0.515,0.697,1.172,0.7,0.625,0.683,0.779,0.929,1.057,0.932,0.616,1.081,1.014
tunisia,0.33,0.018,0.235,0.059,-0.085,0.177,-0.062,0.15,-0.125,0.025,-0.359,-0.368,-0.113,-0.35,-0.244,-0.706,0.624,-0.244,0.187,-0.468,0.324,0.518,0.245,-0.177,0.446,0.243,0.765,0.95,0.744,0.961,-0.117,0.05,0.596,1.269,0.702,0.549,1.1,0.756,1.726,1.152,1.704,1.341,1.454,0.916,0.799,1.268,1.141,1.155,0.992,1.554,0.901,1.481,1.216,1.757,1.167,1.753,0.94,1.436,1.175,1.578
turkey,0.114,1.174,0.342,-0.703,-0.297,1.449,-0.931,-0.018,0.009,0.594,-0.007,-0.749,-0.452,-0.361,-0.265,-0.93,-0.042,0.155,0.869,-0.014,0.584,-0.499,-0.367,0.048,0.072,0.265,-0.386,-0.371,0.176,0.036,-0.175,-1.408,-0.68,0.789,0.233,0.494,-0.369,0.971,1.135,0.275,1.361,0.443,0.376,0.352,0.479,0.516,0.863,0.704,0.821,2.315,-0.027,0.924,0.846,1.665,0.985,1.109,0.955,2.253,1.527,1.684
turkmenistan,0.844,0.143,0.862,-0.803,0.39,0.937,0.072,0.178,-1.493,0.589,0.925,-1.486,0.366,-0.855,0.464,-0.727,0.304,0.061,0.717,0.391,0.952,-0.491,1.256,-0.673,0.467,0.498,0.442,0.926,0.577,0.893,0.472,0.0,-0.364,0.289,1.423,0.232,1.245,1.079,1.316,1.319,1.491,1.248,0.545,1.536,1.425,1.301,1.084,0.686,1.167,1.872,0.6,0.743,1.719,0.628,1.493,1.894,1.412,1.589,1.793,0.839
turks-and-caicas-islands,-0.433,-0.032,0.035,0.299,0.16,0.033,-0.117,0.054,0.16,-0.251,0.003,0.12,-0.016,0.145,-0.159,-0.147,0.074,0.155,-0.22,0.066,0.022,0.343,0.359,0.066,0.549,0.12,0.523,0.48,-0.054,0.114,0.233,0.429,0.14,0.104,0.499,0.501,0.409,0.336,0.704,0.533,0.167,1.075,0.835,0.327,0.142,0.304,0.822,0.941,0.532,0.522,0.48,0.633,0.514,0.476,0.343,0.436,0.521,0.686,0.771,1.059
uganda,-0.15,-0.263,-0.238,-0.282,-0.099,-0.042,-0.237,-0.287,0.14,-0.031,-0.205,0.212,0.295,-0.125,-0.041,0.146,0.239,0.272,0.432,0.714,0.55,0.394,0.729,0.441,0.34,0.526,1.024,0.513,0.046,0.383,0.257,0.445,0.395,0.332,0.639,0.313,0.892,0.913,0.343,0.657,0.536,0.902,0.916,0.992,1.481,1.041,0.766,0.811,1.335,1.25,1.003,0.996,0.996,1.005,1.211,1.379,1.155,0.708,1.107,1.082
ukraine,0.704,0.404,-0.522,-0.453,-0.808,1.415,0.431,0.16,-1.128,0.252,0.305,0.474,-0.171,0.448,1.51,-1.254,0.062,-0.698,0.307,-1.037,0.836,0.245,1.081,0.019,-1.367,0.095,-1.777,-0.106,1.644,1.483,0.411,0.49,-0.453,0.859,0.783,-0.389,-0.314,0.492,1.563,1.457,1.088,1.396,0.341,0.899,0.864,0.349,2.108,1.657,1.402,1.478,0.845,1.339,1.641,1.504,2.176,1.58,1.715,1.734,2.481,2.73
united-arab-emirates,-0.037,0.274,0.009,-0.581,0.007,0.158,-0.217,-0.413,0.31,0.312,-0.098,-0.47,-0.005,-0.183,-0.286,-0.229,0.738,0.308,0.508,0.612,0.43,-0.396,-0.434,-0.365,-0.003,0.11,0.282,0.359,-0.267,0.479,-0.14,-0.527,0.233,0.529,0.126,0.469,0.202,1.383,1.325,0.939,0.996,1.069,1.261,1.133,1.046,1.052,1.19,0.681,1.13,1.665,1.201,1.354,0.905,1.068,1.772,1.296,1.71,1.815,1.467,1.469
united-kingdom-(europe),0.417,-0.696,-0.879,0.058,-0.526,-0.053,0.21,-0.11,-0.181,0.048,0.455,-0.136,0.165,0.142,0.494,0.494,0.002,-0.093,-0.674,0.002,-0.183,0.374,0.471,0.3,-0.516,-0.662,-0.31,0.392,0.926,1.076,0.226,0.412,0.002,0.544,0.85,-0.118,1.095,0.822,1.051,0.791,0.488,1.116,1.134,1.108,1.058,1.359,1.231,0.717,0.808,-0.302,1.321,0.445,0.442,1.594,0.891,0.961,1.218,1.148,1.114,1.402
united-kingdom,0.369,-0.618,-0.829,0.031,-0.486,-0.074,0.199,-0.081,-0.172,0.052,0.413,-0.151,0.155,0.137,0.462,0.447,0.016,-0.066,-0.599,0.001,-0.151,0.377,0.479,0.277,-0.438,-0.607,-0.28,0.375,0.934,1.046,0.201,0.394,0.054,0.52,0.798,-0.074,1.04,0.852,1.036,0.759,0.497,1.04,1.087,1.093,1.016,1.324,1.161,0.713,0.79,-0.236,1.291,0.449,0.459,1.521,0.876,0.953,1.224,1.156,1.078,1.378
united-states,-0.094,0.331,0.178,0.036,-0.1,-0.148,0.162,0.288,-0.301,-0.149,-0.311,0.105,-0.241,-0.02,-0.118,-0.353,-0.367,0.14,0.032,-0.358,-0.136,0.476,-0.041,-0.224,0.347,0.934,-0.256,0.111,0.011,-0.21,0.756,0.823,0.472,0.066,0.716,0.691,0.254,0.059,0.474,0.535,-0.044,0.376,1.345,0.784,0.854,0.987,1.028,0.971,0.883,1.105,1.187,1.055,0.163,0.348,0.711,0.756,1.477,0.464,0.722,1.535
uruguay,0.445,-0.393,0.227,-0.749,0.188,-0.389,0.347,0.261,0.239,0.296,-0.145,0.136,-0.16,-0.097,0.114,-0.432,0.667,0.113,0.011,0.674,0.499,0.665,0.028,-0.159,0.706,0.77,0.242,-0.336,0.778,0.278,0.468,0.05,0.211,0.681,0.268,0.436,0.911,0.075,0.147,0.248,1.09,0.553,0.203,0.632,0.707,0.794,0.068,0.827,0.409,0.424,0.326,1.076,0.332,0.839,0.967,0.292,1.559,0.951,0.799,0.8
uzbekistan,0.899,0.23,1.0,-0.76,0.424,0.889,0.164,0.123,-1.377,0.43,0.938,-1.538,0.35,-0.706,0.549,-0.678,0.406,0.094,0.823,0.414,0.884,-0.243,1.445,-0.714,0.403,0.576,0.273,1.015,0.362,0.971,0.439,0.244,-0.675,0.047,1.339,-0.17,1.217,0.62,1.287,1.344,1.414,1.31,0.608,1.902,1.479,1.22,1.344,0.775,1.133,1.793,0.545,0.597,1.803,0.105,1.581,2.074,1.323,1.053,1.98,1.003
venezuela,0.033,0.052,0.071,0.079,0.023,0.256,-0.236,-0.159,0.486,0.109,-0.52,-0.056,0.227,-0.285,-0.275,-0.358,0.219,0.192,0.287,0.2,0.102,0.057,0.423,-0.027,-0.359,-0.196,0.531,0.175,-0.229,0.256,0.22,0.349,0.197,0.153,0.643,0.347,0.546,0.882,0.272,0.229,0.572,0.687,0.876,0.677,0.797,0.621,0.598,0.439,0.86,1.019,0.597,0.551,0.706,0.791,0.974,0.951,0.814,0.645,1.021,1.023
vietnam,0.104,-0.273,-0.217,-0.02,0.172,0.543,-0.337,-0.063,0.225,-0.049,-0.553,0.045,0.374,-0.175,0.018,-0.295,-0.063,0.019,0.293,0.278,0.251,0.149,0.163,-0.145,-0.009,0.027,0.73,0.293,0.043,0.43,0.537,0.08,0.168,0.449,0.194,0.009,0.371,1.189,0.356,0.268,0.499,0.697,0.76,0.333,0.636,0.841,0.557,0.042,0.708,1.085,-0.056,0.867,0.557,0.677,1.247,1.163,0.853,0.854,1.554,1.307
virgin-islands,0.097,0.035,0.247,0.123,-0.244,-0.107,-0.306,-0.242,0.209,0.017,-0.283,-0.169,0.174,-0.328,-0.216,-0.386,0.155,0.136,0.048,0.541,0.422,0.078,0.437,0.057,0.045,0.119,0.627,0.318,0.08,0.249,0.181,0.262,0.331,0.426,0.638,0.279,0.7,1.076,0.587,0.304,0.705,0.873,0.943,0.618,0.989,0.931,1.011,0.436,0.735,1.026,0.552,0.777,0.732,0.795,1.128,1.169,0.838,0.675,1.05,1.246
western-sahara,0.674,0.339,0.073,0.46,-0.179,0.416,-0.189,-0.155,0.248,0.566,-0.596,-1.065,0.029,-0.571,-0.301,-0.911,0.197,0.408,0.678,0.582,0.858,0.014,1.306,0.274,0.683,0.088,1.474,0.464,1.03,1.079,0.37,0.313,-0.05,0.972,1.197,1.143,1.134,1.456,0.596,0.871,1.39,1.109,1.057,1.199,1.117,1.166,0.828,1.049,1.29,2.173,1.309,1.01,1.318,1.171,1.457,1.574,1.828,0.613,1.117,1.625
yemen,-0.071,-0.066,-0.082,-0.322,-0.394,0.197,-0.159,-0.241,0.343,0.032,-0.156,0.187,0.342,-0.181,-0.667,-0.239,0.567,0.538,0.423,0.702,0.263,-0.084,-0.099,-0.321,-0.181,0.059,0.545,0.678,-0.13,0.897,0.48,0.004,0.128,0.766,0.579,0.256,0.7,0.974,0.982,1.002,0.68,0.872,1.1,0.986,0.988,1.143,1.054,0.589,1.154,1.128,0.974,1.044,0.864,1.043,1.446,1.36,1.379,1.255,1.638,1.4
zambia,0.146,-0.164,-0.377,-0.266,-0.388,0.287,-0.105,-0.161,0.169,0.175,-0.181,0.105,0.263,-0.372,-0.114,-0.389,0.391,0.031,0.173,0.233,0.137,0.364,1.081,0.515,0.136,0.094,1.089,0.713,0.4,0.92,0.432,1.145,0.479,0.616,1.135,0.64,0.653,1.052,0.318,0.364,0.548,0.96,0.94,0.49,1.442,0.727,0.88,0.565,0.595,1.153,0.764,0.791,0.971,0.884,1.38,1.473,0.893,1.221,1.549,1.118
zimbabwe,0.184,0.16,-0.44,-0.131,-0.233,0.212,-0.061,0.155,0.146,0.597,-0.038,-0.127,0.332,-0.51,-0.254,-0.411,0.282,-0.18,0.185,0.037,-0.375,0.301,1.172,0.521,0.036,0.069,1.153,0.362,0.373,0.88,0.586,1.525,0.668,0.361,1.228,0.345,0.427,0.974,0.343,0.031,0.508,0.922,0.743,0.295,1.471,0.623,0.631,0.582,0.531,1.054,0.65,0.973,0.734,0.733,1.412,1.578,0.5,1.05,1.608,0.869
